Dataset Alias,Dataset Name,Mode,Description,Entity,State,Geographic area,How acquired,Last updated,Record Count,Field Count,Info URL,REST URL,Socrata URL,Download URL
Utah Planned Active Transportation Facilities Local,AT Facilities Planned - Local,both,,UDOT,UT,Utah,Open Data,2025,8960,34,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://services.arcgis.com/pA2nEVnB6tquxgOW/arcgis/rest/services/Statewide_Bike_Plan/FeatureServer/1,,
Utah Active Transportation Demand Model,AT_Demand_Model,both,"The Active Transportation Demand Model contains calculated estimates of the demand (potential) for active transportation within uniform hexagons across Utah. Each hexagon contains a bike score and a pedestrian score from 0 to 100, with 100 representing the highest potential for that type of active transportation.This model uses hexagons from the H3 indexing system, scale 8, as the geometric base.",UDOT,UT,Utah,Open Data,,274860,43,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://maps.udot.utah.gov/arcgis01/rest/services/BioWest/AT_Demand/MapServer/0,,
Utah U.S. Bike Routes,USBR_2021_12N_20210229,bike,,UDOT,UT,Utah,Open Data,2024,8,9,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://services.arcgis.com/pA2nEVnB6tquxgOW/ArcGIS/rest/services/USBR_2021_12N_20210229/FeatureServer/0,,
Utah Level of Traffic Stress,Level of Traffic Stress,bike,,UDOT,UT,Utah,Open Data,,33941,20,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://central.udot.utah.gov/server/rest/services/Biowest/LTS/MapServer/0,,
Utah Shoulders,Shoulders,other,"This dataset contains shoulders located along Utah state highways. Descriptive information includes width, edge type, and material. Location information includes x,y and route & milepost. This dataset is a Mandli data layer that was collected in the Summer of 2021 via LiDAR inventory.",UDOT,UT,Utah,Open Data,,228950,30,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://central.udot.utah.gov/central/rest/services/Assets/FI_Shoulders/MapServer/0,,
VDOT ADA Curb Ramps,CurbRamp,pedestrian,,VDOT,VA,Virginia,Open Data,2025,79019,25,https://www.arcgis.com/apps/mapviewer/index.html?webmap=c4cfead89d1d4051837b7e6ab523f6aa,https://services.arcgis.com/p5v98VHDX9Atv3l7/arcgis/rest/services/ADA_Curb_Ramp_Condition_FS_9_View/FeatureServer/0,,
WisDOT Sidewalks,sidewalks_merged,pedestrian,"The Sidewalks Desktop Inventory contains data on sidewalks and shared-used path locations along the State Trunk Network (STN) including connecting highways in Wisconsin. The desktop inventory was developed in 2014/2015 using WisDOT Photo Log and Google Earth satellite images. It is recognized that there are gaps and limitations in the data, for example interstate interchange sidewalk locations may not be identified where they intersect local roadways. A desktop inventory data validation effort determined that the initial Desktop Inventory may have been missing about 8% of the existing curb ramp and sidewalk locations.

It is not recommended to use the Sidewalks Desktop Inventory for project design or construction. The Sidewalks Desktop Inventory data is suitable for providing an estimate of the number and locations of sidewalks on the STN.

For questions contact DOTCurbRampDataCollection@dot.wi.gov",Wisconsin DOT,WS,Wisconsin,Open Data,2023,19646,23,https://usdot.maps.arcgis.com/home/item.html?id=2576a00a47824667ba904a9509106bbc,https://services5.arcgis.com/0pgGLzT0Nh7FVjon/ArcGIS/rest/services/sidewalks_merged/FeatureServer/0,,
Green Bay Sidewalks,v4.L.Sidewalk,pedestrian,,Brown County,WS,"Green Bay, WS",Open Data,2021,16843,17,https://usdot.maps.arcgis.com/home/item.html?id=70d557c6f4034fac94f175959bb26871,https://services.arcgis.com/A6pvCYPD0FSpq2rw/ArcGIS/rest/services/Brown_County_Sidewalks/FeatureServer/0,,
Madison Bike Paths,Bike Path,bike,"Bike Paths.Generally crushed stone within rural areas; paved in urban areas. Includes paths that can accommodate biking, but does not include pedestrian only paths.",City of Madison,WS,"Madison, WS",Open Data,,3566,26,https://usdot.maps.arcgis.com/home/item.html?id=eea6d3fb4ca64f8199d9e1482ff45ae2,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/11,,
Park Falls Curb Connection,Curb Connection,pedestrian,,City of Park Falls,WS,"Park Falls, WS",Open Data,2023,300,10,https://usdot.maps.arcgis.com/home/item.html?id=7658a7426e334579a26cbe86d4594c07&sublayer=0,https://services9.arcgis.com/EbNKPwya4kmeiOw9/ArcGIS/rest/services/Sidewalk_Inventory_Map/FeatureServer/0,,
Park Falls Sidewalks,Sidewalks,pedestrian,,City of Park Falls,WS,"Park Falls, WS",Open Data,2024,205,12,https://usdot.maps.arcgis.com/home/item.html?id=7658a7426e334579a26cbe86d4594c07&sublayer=0,https://services9.arcgis.com/EbNKPwya4kmeiOw9/ArcGIS/rest/services/Sidewalk_Inventory_Map/FeatureServer/1,,
Madison Curb Cuts,Curb Cut,pedestrian,Curb Cuts and Transition Points. The presence or absence of curb cuts is indicated. Features are coded for disabled access.Generally based on most recent orthophotos and Google Street View.,City of Madison,WS,"Madison, WS",Open Data,,48527,14,https://www.arcgis.com/home/item.html?id=91fe67a5379b4be7baa22b5b59549621,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/41,,
Madison Street Centerlines,Pavement Centerlines,pedestrian,"Codes for attribute table
Pavement & Curb Rating
10-9 Excellent
8 Very Good
7-6 Good
5-4 Fair
3-1 Poor
0/Null Not Rated/Not built

Functional Class
1 Principal Arterial
2 Primary Arterial
3 Standard Arterial
4 Collector
5 Local Street
6 Ramp
7 Alley
8 Not Used
9 Private Street
0 Not Constructed

Surface Type
35 Gravel
40 Seal Coat
60 Asphalt over Concrete
65 Hot Mix (overlay) on Asphalt
70 Hot Mix Asphalt
75 Concrete

Curb Gutter & Sidewalk
0 None
1 Left Side
2 Right Side
3 Both Sides

Oneway (oneway street)
0 Not a one-way str
1 One-way in opposite way digitized (Address high to low)
2 One-way in direction digitized (Address low to high)

Shoulder_type
0 None
1 Grass
2 Gravel
3 Paved

Curb_type
0 None
1 Standard
2 Mountable",City of Madison,WS,"Madison, WS",Open Data,,11271,68,https://arcg.is/1LGWaL,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_ENGR/MapServer/1,,
Altoona Sidewalks,Sidewalk_Merge,pedestrian,,City of Altoona,WS,"Altoona, WS",Open Data,2021,910,14,https://arcg.is/1uajy43,https://services6.arcgis.com/VRN2bGr6Ezohdszr/ArcGIS/rest/services/Altoona_Sidewalk_View/FeatureServer/0,,
Milwaukee Bike Lanes,Bike_Lanes_WI,bike,,Southeastern Wisconsin Regional Planning Commission,WS,Milwaukee Metro Area,Open Data,2017,3905,6,https://arcg.is/14S5Ge2,https://services5.arcgis.com/ZrPVNtByTK88ebut/ArcGIS/rest/services/Bike_Lanes_WI/FeatureServer/0,,
East Central Wisconsin Region,Sidewalks_and_Paved_Trails,both,,UW Madison Student/Professor,WS,,,2025,17333,29,,https://services.arcgis.com/HRPe58bUyBqyyiCt/ArcGIS/rest/services/Sidewalks_and_Paved_Trails/FeatureServer/0,,
La Crosse County Sidewalks,MPA_Sidewalks,pedestrian,,La Crosse County,WS,La Crosse County,Open Data,2024,8508,32,https://usdot.maps.arcgis.com/home/item.html?id=5020dfc533314951bc3a291e73aee600,https://services.arcgis.com/YTojcvpJ9GpgYxjF/arcgis/rest/services/Sidewalk_Inventory_WFL1/FeatureServer/6,,
La Crosse County Enhanced Pedestrian Crossings,MPA_Enhanced_Pedestrian_Crossings_Point,pedestrian,,La Crosse County,WS,La Crosse County,Open Data,2024,53,3,https://usdot.maps.arcgis.com/home/item.html?id=5020dfc533314951bc3a291e73aee600,https://services.arcgis.com/YTojcvpJ9GpgYxjF/arcgis/rest/services/Sidewalk_Inventory_WFL1/FeatureServer/8,,
La Crosse County Paved Trails,Paved Trails,both,,La Crosse County,WS,La Crosse County,Open Data,2024,175,16,https://usdot.maps.arcgis.com/home/item.html?id=5020dfc533314951bc3a291e73aee600,https://services.arcgis.com/YTojcvpJ9GpgYxjF/arcgis/rest/services/Sidewalk_Inventory_WFL1/FeatureServer/9,,
La Crosse County Trails,Trails,both,,La Crosse County,WS,La Crosse County,Open Data,2024,94,38,https://usdot.maps.arcgis.com/home/item.html?id=5020dfc533314951bc3a291e73aee600,https://services.arcgis.com/YTojcvpJ9GpgYxjF/arcgis/rest/services/Sidewalk_Inventory_WFL1/FeatureServer/10,,
La Cresent Trails,Trails_LaCrescent,both,,La Crosse County,WS,La Crosse County,Open Data,2024,43,16,https://usdot.maps.arcgis.com/home/item.html?id=5020dfc533314951bc3a291e73aee600,https://services.arcgis.com/YTojcvpJ9GpgYxjF/arcgis/rest/services/Sidewalk_Inventory_WFL1/FeatureServer/15,,
SECWRPC Trail Placefinding Points,Place Finding Point,other,,East Central Wisconsin Regional Planning Commission,WS,Lake Winnebago,Open Data,2016,26,7,https://usdot.maps.arcgis.com/home/item.html?id=bedac3467c70486d8b16b1961980b34f,https://services1.arcgis.com/Osi6nedbad6tbPn5/arcgis/rest/services/Existing_Bicycle_Pedestrian_Facilities/FeatureServer/0,,
SECWRPC Bike Lanes,Bicycle Lane,bike,"This data shows the different types of trails available in East Central Wisconsin. Here is a general outline of the types of facilities that are considered trials.Bike LaneThis is a marked lane on a road meant solely for bicyclists.Off Road PavedThis is a paved trail that is meant for pedestrians first, and bicyclist as well.Off Road UnpavedThis is an unpaved trail (dirt or bark etc) meant for pedestrians, and can also be used to off road bicyclists.Planned FacilityA trail that is found in a municipality, county, or state organizations planning document. Type of trail planned is not given.Recommended FacilityFacilities recommened by ECWRPC's steering committee based on current and planned facilitiesSidewalkSidewalks that are used primarily for pedestrian use.Signed Bike RouteNo ground markings, these are areas that have signage to make bicyclists safer on certain roadways. ",East Central Wisconsin Regional Planning Commission,WS,Lake Winnebago,Open Data,2016,480,11,https://usdot.maps.arcgis.com/home/item.html?id=bedac3467c70486d8b16b1961980b34f,https://services1.arcgis.com/Osi6nedbad6tbPn5/arcgis/rest/services/Existing_Bicycle_Pedestrian_Facilities/FeatureServer/1,,
SECWRPC Off Road Bike Facilities,Off Road Facility,bike,"This data shows the different types of trails available in East Central Wisconsin. Here is a general outline of the types of facilities that are considered trials.Bike LaneThis is a marked lane on a road meant solely for bicyclists.Off Road PavedThis is a paved trail that is meant for pedestrians first, and bicyclist as well.Off Road UnpavedThis is an unpaved trail (dirt or bark etc) meant for pedestrians, and can also be used to off road bicyclists.Planned FacilityA trail that is found in a municipality, county, or state organizations planning document. Type of trail planned is not given.Recommended FacilityFacilities recommened by ECWRPC's steering committee based on current and planned facilitiesSidewalkSidewalks that are used primarily for pedestrian use.Signed Bike RouteNo ground markings, these are areas that have signage to make bicyclists safer on certain roadways. ",East Central Wisconsin Regional Planning Commission,WS,Lake Winnebago,Open Data,2017,1628,12,https://usdot.maps.arcgis.com/home/item.html?id=bedac3467c70486d8b16b1961980b34f,https://services1.arcgis.com/Osi6nedbad6tbPn5/arcgis/rest/services/Existing_Bicycle_Pedestrian_Facilities/FeatureServer/2,,
SECWRPC Planned Bike Facilities,Planned Facilities,bike,"This data shows the different types of trails available in East Central Wisconsin. Here is a general outline of the types of facilities that are considered trials.Bike LaneThis is a marked lane on a road meant solely for bicyclists.Off Road PavedThis is a paved trail that is meant for pedestrians first, and bicyclist as well.Off Road UnpavedThis is an unpaved trail (dirt or bark etc) meant for pedestrians, and can also be used to off road bicyclists.Planned FacilityA trail that is found in a municipality, county, or state organizations planning document. Type of trail planned is not given.Recommended FacilityFacilities recommened by ECWRPC's steering committee based on current and planned facilitiesSidewalkSidewalks that are used primarily for pedestrian use.Signed Bike RouteNo ground markings, these are areas that have signage to make bicyclists safer on certain roadways. ",East Central Wisconsin Regional Planning Commission,WS,Lake Winnebago,Open Data,2016,945,16,https://usdot.maps.arcgis.com/home/item.html?id=bedac3467c70486d8b16b1961980b34f,https://services1.arcgis.com/Osi6nedbad6tbPn5/arcgis/rest/services/Existing_Bicycle_Pedestrian_Facilities/FeatureServer/3,,
SECWRPC Sidewalks,Sidewalks,pedestrian,"This data shows the different types of trails available in East Central Wisconsin. Here is a general outline of the types of facilities that are considered trials.Bike LaneThis is a marked lane on a road meant solely for bicyclists.Off Road PavedThis is a paved trail that is meant for pedestrians first, and bicyclist as well.Off Road UnpavedThis is an unpaved trail (dirt or bark etc) meant for pedestrians, and can also be used to off road bicyclists.Planned FacilityA trail that is found in a municipality, county, or state organizations planning document. Type of trail planned is not given.Recommended FacilityFacilities recommened by ECWRPC's steering committee based on current and planned facilitiesSidewalkSidewalks that are used primarily for pedestrian use.Signed Bike RouteNo ground markings, these are areas that have signage to make bicyclists safer on certain roadways. ",East Central Wisconsin Regional Planning Commission,WS,Lake Winnebago,Open Data,2016,15317,10,https://usdot.maps.arcgis.com/home/item.html?id=bedac3467c70486d8b16b1961980b34f,https://services1.arcgis.com/Osi6nedbad6tbPn5/arcgis/rest/services/Existing_Bicycle_Pedestrian_Facilities/FeatureServer/4,,
SECWRPC Paved Shoulders,Paved Shoulders,other,,East Central Wisconsin Regional Planning Commission,WS,Lake Winnebago,Open Data,2016,143,7,https://usdot.maps.arcgis.com/home/item.html?id=bedac3467c70486d8b16b1961980b34f,https://services1.arcgis.com/Osi6nedbad6tbPn5/arcgis/rest/services/Existing_Bicycle_Pedestrian_Facilities/FeatureServer/5,,
SECWRPC Sharrows,Sharrows,bike,,East Central Wisconsin Regional Planning Commission,WS,Lake Winnebago,Open Data,2016,9,7,https://usdot.maps.arcgis.com/home/item.html?id=bedac3467c70486d8b16b1961980b34f,https://services1.arcgis.com/Osi6nedbad6tbPn5/arcgis/rest/services/Existing_Bicycle_Pedestrian_Facilities/FeatureServer/6,,
Madison Sidewalks,MadisonSidewalk,pedestrian,,City of Madison,WS,"Madison, WS",Open Data,2025,67259,18,https://usdot.maps.arcgis.com/home/item.html?id=b5eb9d60b3354d5fb7558fc32907c87c,https://services.arcgis.com/HRPe58bUyBqyyiCt/ArcGIS/rest/services/MadisonSidewalk/FeatureServer/0,,
Polk County Trails,Polk_Trails_2021,both,,Polk County,WS,"Polk County, WS",Open Data,2021,1014,29,https://usdot.maps.arcgis.com/home/item.html?id=6e0dea02e0f74140be51f6cc02f76870,https://services1.arcgis.com/wQnFk5ouCfPzTlPw/ArcGIS/rest/services/Polk_County_Trails/FeatureServer/0,,
Madison Bike Hazards,Bike Hazard,bike,Bike Hazard Locations,City of Madison,WS,"Madison, WS",Open Data,,219,12,https://usdot.maps.arcgis.com/home/item.html?id=09c49692bfcf41ce88636414063c5663,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/8,,
Madison Bike Bridges,Bike Bridge,bike,"Existing and Planned Bike or Ped Bridge, Overpass, or Underpass.Every location where a feature in the Pedestrian geodatabase (ped.gdb) or the Bike Path feature class in the Transportation geodatabase (transportation.gdb) crosses a waterway (or other natural feature) or has a grade-separated crossing of a road or railroad should be included so that adjustments can be made to networks if necessary. Road-road grade separated crossings (even those with on-road bike facilities) do not need to be included because the road centerline file has elevation fields.",City of Madison,WS,"Madison, WS",Open Data,,429,20,https://usdot.maps.arcgis.com/home/item.html?id=d06fe66e15234188beb86b859c8a23cd,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/6,,
Madison Bike LTS,Bike LTS,bike,"Centerline file used for Bike LTS Network. Has existing streets and bike paths integrated.Clean topology. All connections are end point to end point.Bridges involving bike paths cleaned manually to accommodate bug in Network Analyst connectivity using elevation fields.The Bicycle Level of Traffic Stress (LTS) system rates or scores streets and paths by calculating an LTS score (1, 2, 3, or 4) for each street or multi-use path segment, intersection approach, and intersection crossing and then assigning the highest of the three scores to the segment. In those cases where the intersection LTS score is higher than the street segment score, the street segment encompassing the first block on either side of the intersection is given the higher intersection score. LTS scores for street segments are based on the posted speed limit, traffic volumes, number of travel lanes, and bicycle lane or bicycle/parking lane dimensions. Multi-use paths are classified as the lowest stress (LTS score of 1). Please refer to the Low-Stress Bicycle Network Report, and updated segment methodology for additional detail. Description of Bicycle Routing OptionsThe routing application provides recommended bicycling route directions between an origin and destination using three different routing settings:Low-Stress Only: use of exclusively low-stress routes (LTS 1 or 2).Moderate-Stress: moderate-stress routes (LTS 1-3), but with low-stress preferred via a time penalty added to moderate stress routes when determining the route.Unrestricted: use of any legal bicycling route (LTS 1-4), but with low- and moderate-stress routes preferred via the most severe time penalty added to high-stress routes and a lesser penalty added to moderate-stress routes.Travel times shown are actual times (based on an average bicyclistâ€™s speed of 10 mph) without the time penalties used by the application to determine the route.Description of LTS Levels for Street SegmentsLTS 1: Paths and streets with 1 lane per direction, speed limits â‰¤ 20 mph, and low traffic volumes, or up to 25 mph with bike lanes.LTS 2: Streets with 1 lane per direction, speed limits â‰¤ 30 mph, and low traffic volumes and/or bike lanes.LTS 3: Streets with 1-2 lanes per direction, speed limits â‰¤ 35 mph, and moderate traffic volumes and/or bike lanes.LTS 4: Streets with 2+ lanes per direction, with high speed limits and/or high traffic volumes.The LTS score for an intersection approach is based on the intersection configuration. Specifically, the score is based on whether there is a right-turn only lane and, if so, whether there is a â€œpocketâ€ bike lane to the left of the right-turn lane and other details related to the design of these lanes and the curb radius of the intersection. Description of LTS levels for Intersection ApproachesNo effect: Simple intersection with no right-turn lane, or a single right turn lane of less than 75 feet with slow turning speeds.LTS 2: Intersection with a single right-turn lane of less than 150 feet and a bike lane that continues straight.LTS 3: Intersection with a right-turn lane of 75-150 feet and no bike lane, a bike lane that shifts to the left across a right-turn lane with slow turning speeds, or a bike lane that continues straight alongside a turn lane of more than 150 feet.LTS 4: Other intersection configurations, including multiple right-turn lanes and/or higher turning speeds.The LTS score for an unsignalized intersection crossing is based on the number of travel lanes per direction on the intersecting street to be crossed, the presence of a median (for multi-lane streets), and the speed limit on the intersecting street. Description of LTS Levels for Intersection CrossingsUnsignalized CrossingsLTS 1: Intersecting street has only 1 lane per travel direction and speed limit â‰¤ 30 mph.LTS 2: Intersecting street has only 1 lane per travel direction and speed limit â‰¤ 35 mph or 2 lanes but speed limit â‰¤ 30 mph.LTS 3: Intersecting street has 1 lane per travel direction and a speed limit of 40+ mph, or 2 lanes and a speed limit of 35 mph.LTS 4: Intersecting street has 2 lanes per travel direction and 40+ mph speed limit, or 3+ lanes.In some cases, intersection crossing LTS is reduced below these levels if the intersecting street is one-way only or is equipped with a median refuge. Signalized CrossingsCrossing streets at signalized intersections does not present a significant barrier for bicyclists and thus does not affect the LTS score unless a right turn lane is present.",City of Madison,WS,"Madison, WS",Open Data,,43971,102,https://usdot.maps.arcgis.com/home/item.html?id=c203c656c7b3465cb68118918c09f7a4,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/56,,
Madison Bike Signals,Bike Signal,bike,Bike Signals,City of Madison,WS,"Madison, WS",Open Data,,9,12,https://usdot.maps.arcgis.com/home/item.html?id=6dadf6dd69824bcb9c29ea639010ea53,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/10,,
Madison City Biking and Walking Paths,City Maintained Bike and Walk Paths,both,The different classificiations of the bike path data are as follows:Segment Name- information on what street and in between which streets a particular segment is locatedMSLink- denotes the specific codes given to each pathLocation- additional information on the street and parameter of bike pathAlderman District- information on which district the bike is locatedPavement Rating- information on the quality of the pavementPavement Type- information on the material used in the pavementLengthand Width- information on the size of a particular stretch of bike pathUse- denotes whether the path is for walking or biking use.Pavement Marking and Lighting- information on the lighting and the marking of a particular pathMaintained By- information on who is responsible for the up-keep of a particular pathLast Maintained By- information on when the last maintenance was performed and describes the type of maintenance completed.,City of Madison,WS,"Madison, WS",Open Data,,698,53,https://usdot.maps.arcgis.com/home/item.html?id=a571258323444138971b6155dc723d7e,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_ENGR/MapServer/0,,
Madison Bike Repair Stations,Bike Repair Station,bike,Bike Repair Stations,City of Madison,WS,"Madison, WS",Open Data,,71,16,https://usdot.maps.arcgis.com/home/item.html?id=76d43c3b570246bb98d6f44f0400c000,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/34,,
Madison Bike Intersections,TIP Bike Intersections,bike,Major Pedestrian / Bicycle Way Enhancement Intersection Projects Programmed and Completed,City of Madison,WS,"Madison, WS",Open Data,,47,18,https://usdot.maps.arcgis.com/home/item.html?id=b69879b7cc52418ab059a49f0452a86c,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/0,,
Madison Bike Boxes,Bike Box,bike,Bike Box Pavement Painting,City of Madison,WS,"Madison, WS",Open Data,,24,13,https://usdot.maps.arcgis.com/home/item.html?id=325f7abb55a444648221062cadee401a,https://maps.cityofmadison.com/arcgis/rest/services/Public/OPEN_DATA_TRANS/MapServer/5,,
Kenosha Bike Racks,BicycleParking,bike,,City of Kenosha,WS,"Kenosha, WS",Open Data,2021,75,5,https://usdot.maps.arcgis.com/home/item.html?id=00b39e30d6a84d43807ee8bc626a0419,https://services1.arcgis.com/dEWY7aW7h9zHrSP9/ArcGIS/rest/services/Bicycle_Parking/FeatureServer/0,,
Alaska Bike Lanes,Bicycle_Lanes_AKDOT,,,Alaska DOT,AK,Alaska,Open Data,2025,982,33,https://data-soa-akdot.opendata.arcgis.com/datasets/AKDOT::bicycle-lanes-akdot/about,https://services.arcgis.com/r4A0V7UzH9fcLVvv/arcgis/rest/services/Bicycle_Lanes_AKDOT/FeatureServer/0,,
Arkansas ADA Curb Ramps,ADA_Ramps,,,Arkansas DOT,AR,Arkansas,Open Data,,44632,41,https://ardot.gov/divisions/civil-rights/ada/,https://gis.ardot.gov/hosting/rest/services/TPP_GISMapping/ADA_Ramps/MapServer/0,,
Arizona Bike Lanes,Bikeways,bike,,Maricopa Association of Governments & ADOT,AZ,Arizona,Open data,2025,22903,24,https://arizona-sun-cloud-agic.hub.arcgis.com/,https://services1.arcgis.com/MdyCMZnX1raZ7TS3/arcgis/rest/services/Bikeways/FeatureServer/0,,
Colorado ADA Curb Ramps,ADA Curb Ramps,,,Colorado DOT,CO,Colorado,Open Data,,24594,21,https://www.codot.gov/business/civilrights/ada/curbramps,https://maps.codot.gov/server/rest/services/ADA_Curb_Ramps_Dashboard_Service/MapServer/0,,
Deleware Curb Ramps,Curb Ramps,pedestrian,,DelDOT,DE,Delaware,Open Data,,22764,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/1,,
Deleware Curb Barrier,Curb Barrier,pedestrian,,DelDOT,DE,Delaware,Open Data,,791,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/2,,
Deleware Sidewalk Stub End,Sidewalk Stub End,pedestrian,,DelDOT,DE,Delaware,Open Data,,1483,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/3,,
Deleware Driveway Crossing,Driveway Crossing,pedestrian,,DelDOT,DE,Delaware,Open Data,,4397,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/4,,
Delaware Driveway Crossing Non-Compliant Sidewalk,Driveway Crossing Non-Compliant Sidewalk,pedestrian,,DelDOT,DE,Delaware,Open Data,,5396,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/5,,
Delaware Median/Channelized Island,Median/Channelized Island,pedestrian,,DelDOT,DE,Delaware,Open Data,,1457,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/6,,
Delaware Non-Compliant Sidewalk 20 Feet or Less,Non-Compliant Sidewalk 20 Feet or Less,pedestrian,,DelDOT,DE,Delaware,Open Data,,1221,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/7,,
Delaware On Street Parking,On Street Parking,other,,DelDOT,DE,Delaware,Open Data,,191,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/8,,
Delaware Horizontal Gap,Horizontal Gap,pedestrian,,DelDOT,DE,Delaware,Open Data,,463,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/9,,
Delaware Vertical Elevation Difference,Vertical Elevation Difference,pedestrian,,DelDOT,DE,Delaware,Open Data,,1157,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/10,,
Delaware Pinch Point,Pinch Point,pedestrian,,DelDOT,DE,Delaware,Open Data,,711,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/11,,
Delaware Path Berm Run Slope,Path Berm Run Slope,pedestrian,,DelDOT,DE,Delaware,Open Data,,27,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/12,,
Delaware Push Buttons,Push Buttons,pedestrian,,DelDOT,DE,Delaware,Open Data,,3265,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/13,,
Delaware Railroad Crossing,Railroad Crossing,other,,DelDOT,DE,Delaware,Open Data,,143,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/14,,
Delaware Sidewalk Passing Area,Sidewalk Passing Area,pedestrian,,DelDOT,DE,Delaware,Open Data,,58,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/15,,
Delaware Obstruction,Obstruction,pedestrian,,DelDOT,DE,Delaware,Open Data,,14,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/16,,
Delaware Crosswalk - Point,Crosswalk - Point,pedestrian,,DelDOT,DE,Delaware,Open Data,,27,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/17,,
Delaware Shared Use Path - Point,Shared Use Path - Point,both,,DelDOT,DE,Delaware,Open Data,,16,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/18,,
Delaware Sidewalk - Point,Sidewalk - Point,pedestrian,,DelDOT,DE,Delaware,Open Data,,14,30,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/19,,
Delaware Crosswalk - Line,Crosswalk - Line,pedestrian,,DelDOT,DE,Delaware,Open Data,,8623,35,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/20,,
Delaware Missing Sidewalk Link,Missing Sidewalk Link,pedestrian,,DelDOT,DE,Delaware,Open Data,,194,35,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/21,,
Delaware Shared Use Path - Line,Shared Use Path - Line,both,,DelDOT,DE,Delaware,Open Data,,675,35,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/22,,
Delaware Sidewalk - Line,Sidewalk - Line,pedestrian,,DelDOT,DE,Delaware,Open Data,,15545,35,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_ACIA/FeatureServer/23,,
